Week,Count
11/3/2013,6
11/10/2013,7
11/17/2013,8
11/24/2013,8
12/1/2013,8
12/8/2013,9
12/15/2013,10
12/22/2013,8
12/29/2013,12
1/5/2014,9
1/12/2014,10
1/19/2014,10
1/26/2014,10
2/2/2014,9
2/9/2014,10
2/16/2014,9
2/23/2014,11
3/2/2014,10
3/9/2014,11
3/16/2014,11
3/23/2014,11
3/30/2014,11
4/6/2014,12
4/13/2014,12
4/20/2014,13
4/27/2014,12
5/4/2014,14
5/11/2014,15
5/18/2014,15
5/25/2014,16
6/1/2014,22
6/8/2014,24
6/15/2014,20
6/22/2014,20
6/29/2014,20
7/6/2014,21
7/13/2014,23
7/20/2014,23
7/27/2014,23
8/3/2014,23
8/10/2014,22
8/17/2014,25
8/24/2014,24
8/31/2014,23
9/7/2014,22
9/14/2014,23
9/21/2014,22
9/28/2014,22
10/5/2014,23
10/12/2014,24
10/19/2014,25
10/26/2014,29
11/2/2014,28
11/9/2014,25
11/16/2014,33
11/23/2014,27
11/30/2014,28
12/7/2014,34
12/14/2014,30
12/21/2014,25
12/28/2014,32
1/4/2015,24
1/11/2015,24
1/18/2015,24
1/25/2015,26
2/1/2015,26
2/8/2015,27
2/15/2015,28
2/22/2015,28
3/1/2015,31
3/8/2015,31
3/15/2015,33
3/22/2015,32
3/29/2015,42
4/5/2015,34
4/12/2015,34
4/19/2015,38
4/26/2015,37
5/3/2015,37
5/10/2015,39
5/17/2015,42
5/24/2015,41
5/31/2015,42
6/7/2015,44
6/14/2015,46
6/21/2015,48
6/28/2015,48
7/5/2015,45
7/12/2015,48
7/19/2015,57
7/26/2015,50
8/2/2015,49
8/9/2015,48
8/16/2015,47
8/23/2015,45
8/30/2015,47
9/6/2015,46
9/13/2015,47
9/20/2015,46
9/27/2015,44
10/4/2015,46
10/11/2015,49
10/18/2015,46
10/25/2015,49
11/1/2015,57
11/8/2015,43
11/15/2015,42
11/22/2015,41
11/29/2015,43
12/6/2015,43
12/13/2015,45
12/20/2015,42
12/27/2015,59
1/3/2016,48
1/10/2016,47
1/17/2016,57
1/24/2016,55
1/31/2016,56
2/7/2016,50
2/14/2016,48
2/21/2016,62
2/28/2016,46
3/6/2016,48
3/13/2016,52
3/20/2016,51
3/27/2016,53
4/3/2016,50
4/10/2016,52
4/17/2016,53
4/24/2016,54
5/1/2016,54
5/8/2016,60
5/15/2016,57
5/22/2016,58
5/29/2016,60
6/5/2016,60
6/12/2016,60
6/19/2016,64
6/26/2016,67
7/3/2016,64
7/10/2016,66
7/17/2016,63
7/24/2016,64
7/31/2016,65
8/7/2016,59
8/14/2016,63
8/21/2016,66
8/28/2016,63
9/4/2016,59
9/11/2016,61
9/18/2016,60
9/25/2016,60
10/2/2016,58
10/9/2016,62
10/16/2016,62
10/23/2016,66
10/30/2016,65
11/6/2016,56
11/13/2016,61
11/20/2016,57
11/27/2016,59
12/4/2016,60
12/11/2016,65
12/18/2016,65
12/25/2016,67
1/1/2017,67
1/8/2017,59
1/15/2017,59
1/22/2017,61
1/29/2017,100
2/5/2017,58
2/12/2017,56
2/19/2017,64
2/26/2017,68
3/5/2017,61
3/12/2017,62
3/19/2017,62
3/26/2017,64
4/2/2017,64
4/9/2017,60
4/16/2017,58
4/23/2017,62
4/30/2017,59
5/7/2017,58
5/14/2017,59
5/21/2017,63
5/28/2017,70
6/4/2017,68
6/11/2017,73
6/18/2017,77
6/25/2017,72
7/2/2017,68
7/9/2017,66
7/16/2017,67
7/23/2017,66
7/30/2017,63
8/6/2017,64
8/13/2017,59
8/20/2017,57
8/27/2017,59
9/3/2017,52
9/10/2017,51
9/17/2017,56
9/24/2017,57
10/1/2017,55
10/8/2017,55
10/15/2017,55
10/22/2017,55
10/29/2017,56
11/5/2017,57
11/12/2017,57
11/19/2017,59
11/26/2017,53
12/3/2017,50
12/10/2017,53
12/17/2017,54
12/24/2017,55
12/31/2017,62
1/7/2018,52
1/14/2018,52
1/21/2018,53
1/28/2018,57
2/4/2018,55
2/11/2018,53
2/18/2018,57
2/25/2018,59
3/4/2018,56
3/11/2018,56
3/18/2018,75
3/25/2018,59
4/1/2018,57
4/8/2018,57
4/15/2018,55
4/22/2018,55
4/29/2018,55
5/6/2018,56
5/13/2018,58
5/20/2018,60
5/27/2018,63
6/3/2018,61
6/10/2018,62
6/17/2018,64
6/24/2018,64
7/1/2018,64
7/8/2018,63
7/15/2018,64
7/22/2018,67
7/29/2018,66
8/5/2018,66
8/12/2018,62
8/19/2018,60
8/26/2018,60
9/2/2018,58
9/9/2018,58
9/16/2018,57
9/23/2018,58
9/30/2018,57
10/7/2018,59
10/14/2018,58
10/21/2018,55
